id,url,final_url,http_status,retrieved_at,sha256,content_type,used_in_analysis,saved_text
cpsc-recall-duty,https://www.cpsc.gov/Business--Manufacturing/Recall-Guidance/Duty-to-Report-to-the-CPSC-Your-Rights-and-Responsibilities,https://www.cpsc.gov/Business--Manufacturing/Recall-Guidance/Duty-to-Report-to-the-CPSC-Your-Rights-and-Responsibilities,403,2026-09-19T03:29:51.589236+00:00,ad1f60c190f385d10b8473bc24688b7a4ed0908edd8c6dc327b3bf0735c32d78,text/html,False,web/cpsc-recall-duty.txt
dreo-about,https://www.dreo.com/pages/about-us,https://www.dreo.com/pages/about-us-dreo,200,2026-09-19T03:21:01.935019+00:00,5b138df92d4f3f763f9d0bcdc68de0affd08e98a68854492aced9fb295546c18,text/html; charset=utf-8,True,web/dreo-about.txt
enterpret-series-a,https://www.enterpret.com/blog/enterpret-series-a,https://www.enterpret.com/blog/enterpret-series-a,200,2026-09-19T03:26:17.190220+00:00,bbc5e25d91190842481f5991698710ea74778f05a94389793dcb41f9289f1ce4,text/html; charset=utf-8,True,web/enterpret-series-a.txt
fellow-about,https://fellowproducts.com/pages/about-us,https://fellowproducts.com/pages/about-us,200,2026-09-19T03:21:03.392496+00:00,44d16345856d9206bb82174ff8dfba6f8fb8713bb8d8ed54cc2c71a3cea57ea3,text/html; charset=utf-8,True,web/fellow-about.txt
fortune-cx,https://www.fortunebusinessinsights.com/customer-experience-management-cxm-market-103002,https://www.fortunebusinessinsights.com/customer-experience-management-cxm-market-103002,403,2026-09-19T03:19:44.180881+00:00,1777b3ac8a66a9f9aec28b6a9702e2168998ea6d5722be1e9d3542bf2c06f9b2,text/html; charset=UTF-8,False,web/fortune-cx.txt
ftc-security,https://www.ftc.gov/business-guidance/resources/start-security-guide-business,https://www.ftc.gov/business-guidance/resources/start-security-guide-business,200,2026-09-19T03:29:56.326929+00:00,070dce28fc38934c05983ad936a9579fbf632610b84dce23e1aae3061975dd51,text/html; charset=UTF-8,True,web/ftc-security.txt
gorgias-plans,https://www.gorgias.com/blog/gorgias-plan,https://www.gorgias.com/blog/gorgias-plan,200,2026-09-19T03:26:18.762797+00:00,852f324303d413edfb89129c819ab5350a52f2fb6ecbc5cea99bf891d7afa4de,text/html; charset=utf-8,True,web/gorgias-plans.txt
gorgias-pricing-2026,https://www.gorgias.com/pricing,https://www.gorgias.com/pricing,200,2026-09-19T03:21:00.578075+00:00,816d32f1343b170dd26fb998d1806787991d9574731619298e3364c981e9c1a9,text/html; charset=utf-8,True,web/gorgias-pricing-2026.txt
gorgias-series-c2,https://www.gorgias.com/blog/series-c2-ai-powered-cx,https://www.gorgias.com/blog/series-c2-ai-powered-cx,200,2026-09-19T03:26:18.913841+00:00,831e700f1c02f2934ff02c97958c1da5f75e0a2d3eae269a4d120100dae934d5,text/html; charset=utf-8,True,web/gorgias-series-c2.txt
grandview-cx,https://www.grandviewresearch.com/industry-analysis/customer-experience-management-market,https://www.grandviewresearch.com/industry-analysis/customer-experience-management-market,403,2026-09-19T03:15:05.940038+00:00,052f66041eaa3f331c5ccc7fc816481e0fe2cca729ef084937003c114c096215,text/html; charset=UTF-8,False,web/grandview-cx.txt
